url,city
https://www.zomato.com/dubai/burger-king-dubai-festival-city-mall-1-dubai-festival-city,dubai
https://www.zomato.com/dubai/burger-king-discovery-gardens,dubai
https://www.zomato.com/dubai/burger-king-al-barsha,dubai
https://www.zomato.com/dubai/burger-king-deira-city-centre-area,dubai
https://www.zomato.com/dubai/burger-king-al-quoz,dubai
https://www.zomato.com/dubai/burger-king-1-jafza,dubai
https://www.zomato.com/dubai/burger-king-2-mankhool,dubai
https://www.zomato.com/dubai/burger-king-downtown-dubai,dubai
https://www.zomato.com/dubai/burger-king-jafza,dubai
https://www.zomato.com/dubai/burger-king-jebel-ali-industrial-area,dubai
https://www.zomato.com/dubai/burger-king-zaabeel,dubai
https://www.zomato.com/dubai/burger-king-1-al-quoz,dubai
https://www.zomato.com/dubai/burger-king-global-village,dubai
https://www.zomato.com/dubai/burger-king-dubai-outlet-mall,dubai
https://www.zomato.com/dubai/operation-falafel-jumeirah-beach-residence,dubai
https://www.zomato.com/dubai/operation-falafel-dubai-media-city,dubai
https://www.zomato.com/dubai/operation-falafel-downtown-dubai,dubai
https://www.zomato.com/dubai/operation-falafel-1-motor-city,dubai
https://www.zomato.com/dubai/operation-falafel-1-downtown-dubai,dubai
https://www.zomato.com/dubai/operation-falafel-the-outlet-village-jebel-ali-village,dubai
https://www.zomato.com/dubai/operation-falafel-dubai-silicon-oasis-dso,dubai
https://www.zomato.com/dubai/operation-falafel-jumeirah-lake-towers,dubai
https://www.zomato.com/dubai/calicut-paragon-al-karama,dubai
https://www.zomato.com/dubai/calicut-paragon-al-nahda,dubai
https://www.zomato.com/dubai/saravanaa-bhavan-al-karama,dubai
https://www.zomato.com/dubai/saravanaa-bhavan-al-nahda,dubai
https://www.zomato.com/dubai/saravanaa-bhavan-oud-metha,dubai
https://www.zomato.com/dubai/saravanaa-bhavan-1-qusais,dubai
https://www.zomato.com/dubai/saravanaa-bhavan-1-al-muteena,dubai
https://www.zomato.com/dubai/saravanaa-bhavan-al-barsha,dubai
https://www.zomato.com/dubai/saravanaa-bhavan-meena-bazaar,dubai
https://www.zomato.com/dubai/al-amoor-express-al-barsha,dubai
https://www.zomato.com/dubai/al-amoor-express-al-rigga,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-dubai-marina,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-business-bay,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-dubai-media-city,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-barsha-heights,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-motor-city,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-trade-centre-area,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-jumeirah-beach-residence,dubai
https://www.zomato.com/dubai/zaatar-w-zeit-dubai-festival-city,dubai
